id	source_path	target_path	category	action	tracked	packaged	external_dependency	verification	status	notes
HAND-001	.generated/two_level_runtime_trial/two_level_full.dict.yaml	go-backend/input_methods/yime/data/yime_core_fixed.dict.yaml	handoff	preserve-and-reproduce	yes	yes	yes	1,167,501 entries, source hash, selection hash and manifest chain	blocked	Current 1,167,501 handoff is the target product identity; do not overwrite it with the incomplete 1,166,753 rebuild.
HAND-002	.generated/two_level_runtime_trial/*.manifest.json	go-backend/input_methods/yime/data/yime_core_source_manifest.json; yime_lexicon_manifest.json	manifest	regenerate	yes	yes	yes	manifest schema + same-run provenance	blocked	All identities must originate from one clean run.
HAND-003	tools/verify_default_runtime_handoff.py	tools/lexicon/verify_handoff.py	gate	migrate	yes	no	no	cross-repo then in-repo parity test	planned	Replace cross-repo path only after in-repo handoff exists.
HAND-004	tools/prepare_prototype_windows_parity.py	tools/lexicon/prepare_evaluation_runtime.py	evaluation-adapter	migrate	yes	no	no	compact DB and manifest parity	planned	Temporary bridge becomes same-repo evaluation runtime builder.
WIN-001	C:/dev/Yime/tools/import-yime-core-lexicon.ps1	tools/import-yime-core-lexicon.ps1	windows-import	modify	yes	no	no	build guards + source manifest tests	planned	Change input path from prototype to Yime in-repo handoff.
WIN-002	C:/dev/Yime/go-backend/input_methods/yime/codemode/	same	windows-runtime	keep	yes	yes	no	Go tests + exhaustive mode parity	planned	No Python runtime replacement.
WIN-003	C:/dev/Yime/go-backend/input_methods/yime/data/yime_*.dict.yaml	same	derived-runtime	regenerate	yes	yes	no	real Rime and package-content gates	blocked	Derived only from approved single handoff.
WIN-004	C:/dev/Yime/go-backend/input_methods/yime/data/*manifest*.json	same	runtime-manifest	regenerate	yes	yes	no	manifest/layout/readme package gate	blocked	Update atomically with approved dictionaries.
WIN-005	C:/dev/Yime/go-backend/input_methods/yime/connectedspeech/; docs/project/connected_speech/; yime_*tone* and yime_erhua* data	same	sound-change-chain	preserve-and-integrate	yes	yes	no	neutral tone, yi/bu, third-tone, erhua and other approved sound-change gates	planned	These reviewed additions contribute to the 1,167,501 target identity or its runtime overlays and must remain traceable through manifests.
TEST-001	tests/syllable/; tests/yime/ formal pipeline tests	tools/lexicon/tests/	test	migrate	yes	no	no	pytest parity and mutation guards	planned	Keep exact formal and failure-path coverage.
TEST-002	tests/input_method/ GUI/hook tests	docs/archive/prototype-test-map.md	legacy-runtime-test	archive-summary	yes	no	no	coverage disposition review	planned	Do not migrate pywin32/pynput/Tk behavior unless a reusable non-GUI utility exists.
TEST-003	prototype release acceptance scripts	tools/lexicon/run-release-acceptance.ps1; tools/lexicon/	gate	migrate-and-split	yes	no	yes	clean clone acceptance	planned	Separate offline generation from Windows package acceptance.
EXP-001	efficiency, keystroke and candidate-window analysis tools	tools/evaluation/	evaluation	classify-and-migrate	mixed	no	maybe	golden corpus result parity	planned	Must read approved lexicon/layout manifest.
EXP-002	layout experiment and comparison tools	tools/evaluation/layout/	evaluation	classify-and-migrate	mixed	no	maybe	layout digest + non-writeback test	planned	Experiments output patches/reports only.
EXP-003	yime/input_method/ Python IME GUI and keyboard hook	archive tag only	prototype-runtime	retire	yes	no	no	feature disposition review	planned	Do not migrate runtime shell; retain only reusable pure logic already covered elsewhere.
EXP-004	internal_data/prototype_runtime_profile.json	tools/evaluation/runtime_profile.json	evaluation-config	migrate-then-simplify	yes	no	no	manifest resolution test	planned	Remove cross-repo compatibility fields after cutover.
DOC-001	docs architecture, encoding, source and handoff documents	docs/lexicon/; docs/project/	documentation	migrate-and-rewrite	yes	no	no	link/path scan and maintainer review	planned	Remove C:\\dev\\Yime-python-prototype references at cutover.
ENV-001	venv312; requirements/setup files	tools/lexicon/pyproject.toml + lock file	python-environment	rebuild	mixed	no	yes	latest-stable Python CI on Windows	planned	No pywin32/pynput/PyInstaller runtime dependencies.
ENV-002	dist/; build/; *.spec; portable release scripts	none	prototype-package	delete-after-exit	no	no	no	archive tag + recovery check	deferred	Approximately 38 GiB dist; not part of Windows Yime release.
ENV-003	.generated/	ignored build/cache directories	generated-cache	delete-after-exit	no	no	yes	reproducible regeneration test	deferred	Approximately 47 GiB; preserve current failed-run evidence until Phase 0 review completes.
ENV-004	yime/reports/	external archive + small tracked regression fixtures	report	classify-and-archive	mixed	no	maybe	report index + fixture provenance	planned	Keep only decisions and minimal regression samples in Git.
ENV-005	one-off scripts and obsolete tools	docs/archive/prototype-tool-disposition.tsv	legacy-tool	inventory-and-retire	mixed	no	maybe	no production imports + owner review	planned	Every tool receives migrate/archive/delete decision before repository freeze.
RET-001	Yime-python-prototype repository	remote read-only tag	retirement	freeze	yes	no	yes	fresh clone recovery + two release cycles	deferred	Do not delete or archive before all exit criteria pass.
