text	source_full_code	numeric_pinyin	marked_pinyin
一会了	ylkjhucl\eee	yi2 hui4 le5	yí huì le
一倍了	ylkjbvcl\eee	yi2 bei4 le5	yí bèi le
一切恶	ylkj2jcx'rew	yi2 qie4 e4	yí qiè è
一半了	ylkjbfdz\eee	yi2 ban4 le5	yí bàn le
一去不复返了	ylkj2m,.boiu[uio[ssz\eee	yi2 qu4 bu2 fu4 fan3 le5	yí qù bú fù fǎn le
一只鹅	yjkl7JJJ'wer	yi4 zhi1 e2	yì zhī é
一周了	yjkl7rru\eee	yi4 zhou1 le5	yì zhōu le
一命了	ylkj-je/\eee	yi2 ming4 le5	yí mìng le
一块了	ylkjqudl\eee	yi2 kuai4 le5	yí kuài le
一墨	ylkj-rew	yi2 mo4	yí mò
一墨迹	ylkj-rew3jkl	yi2 mo4 ji4	yí mò jì
一天了	yjkltjfa\eee	yi4 tian1 le5	yì tiān le
一定哦	ylkj]je/'wer	yi2 ding4 o2	yí dìng ó
一差两讹	yjjj8fds\ls/'wer	yi1 cha4 liang3 e2	yī chà liǎng é
一年了	yjklnlda\eee	yi4 nian2 le5	yì nián le
一抹头	yjjj-rewtweu	yi1 mo4 tou2	yī mò tóu
一搤	yjjj'rew	yi1 e4	yī è
一摸	yjkl-rrr	yi4 mo1	yì mō
一摸到	yjkl-rrr]fdo	yi4 mo1 dao4	yì mō dào
一摸黑	yjjj-rrrhvvj	yi1 mo1 hei1	yī mō hēi
一月了	yjjj`mcx\eee	yi1 yue4 le5	yī yuè le
一月末	yjjj`mcx-rew	yi1 yue4 mo4	yī yuè mò
一本了	yjjjbxxz\eee	yi1 ben3 le5	yī běn le
一杯了	yjklbvvj\eee	yi4 bei1 le5	yì bēi le
一样了	ylkjyjd/\eee	yi2 yang4 le5	yí yàng le
一次么	ylkj5JKL-eee	yi2 ci4 me5	yí cì me
一次了	ylkj5JKL\eee	yi2 ci4 le5	yí cì le
一满了	yjjj-ssz\eee	yi1 man3 le5	yī mǎn le
一滴墨	yjkl]jjj-rew	yi4 di1 mo4	yì dī mò
一点了	yjkl]lsz\eee	yi4 dian3 le5	yì diǎn le
一琢磨	yjjj6oer-eee	yi1 zuo2 mo5	yī zuó mo
一笑了事	yjjj1jdo\eee9JKL	yi1 xiao4 le5 shi4	yī xiào le shì
一笔抹摋	yjjjblll-rew4fds	yi1 bi3 mo4 sa4	yī bǐ mò sà
一筹莫展	yjjj8weu-rew7ssz	yi1 chou2 mo4 zhan3	yī chóu mò zhǎn
一致了	ylkj7JKL\eee	yi2 zhi4 le5	yí zhì le
一般了	yjklbffa\eee	yi4 ban1 le5	yì bān le
一萼红	ylkj'rewhoe;	yi2 e4 hong2	yí è hóng
一蓦	yjjj-rew	yi1 mo4	yī mò
一起么	yjkl2lll-eee	yi4 qi3 me5	yì qǐ me
一起了	yjkl2lll\eee	yi4 qi3 le5	yì qǐ le
一起摸	yjkl2lll-rrr	yi4 qi3 mo1	yì qǐ mō
一辞莫赞	yjjj5LKJ-rew6fdz	yi1 ci2 mo4 zan4	yī cí mò zàn
一陌	yjjj-rew	yi1 mo4	yī mò
一饿	ylkj'rew	yi2 e4	yí è
一鹗	yjjj'rew	yi1 e4	yī è
一鹗书	yjjj'rew9uuu	yi1 e4 shu1	yī è shū
一默	ylkj-rew	yi2 mo4	yí mò
丁夜蛾	]jr;yjcx'wer	ding1 ye4 e2	dīng yè é
丁是娥	]jr;9JKL'wer	ding1 shi4 e2	dīng shì é
丁默	]jr;-rew	ding1 mo4	dīng mò
丁默村	]jr;-rew5uva	ding1 mo4 cun1	dīng mò cūn
七七了	2jjj2jjj\eee	qi1 qi1 le5	qī qī le
七丘鳄	2jjj2jru'rew	qi1 qiu1 e4	qī qiū è
七了八当	2jjj\eeebfff]ff;	qi1 le5 ba1 dang1	qī le bā dāng
七十了	2jjj9LKJ\eee	qi1 shi2 le5	qī shí le
七号了	2jjjhfdo\eee	qi1 hao4 le5	qī hào le
七天了	2jjjtjfa\eee	qi1 tian1 le5	qī tiān le
七岁了	2jjj4ucl\eee	qi1 sui4 le5	qī suì le
七年了	2jjjnlda\eee	qi1 nian2 le5	qī nián le
七月末	2jjj`mcx-rew	qi1 yue4 mo4	qī yuè mò
七点了	2jjj]lsz\eee	qi1 dian3 le5	qī diǎn le
七级了	2jjj3lkj\eee	qi1 ji2 le5	qī jí le
万	-rew	mo4	mò
万了吧	=udz\eeebddd	wan4 le5 ba5	wàn le ba
万俟	-rew2lkj	mo4 qi2	mò qí
万俟卨	-rew2lkj1jcx	mo4 qi2 xie4	mò qí xiè
万俟咏	-rew2lkj`.w/	mo4 qi2 yong3	mò qí yǒng
万俟造	-rew2lkj6fdo	mo4 qi2 zao4	mò qí zào
万元了	=udz`.da\eee	wan4 yuan2 le5	wàn yuán le
万分了	=udz[vva\eee	wan4 fen1 le5	wàn fēn le
万墨林	=udz-rew\lca	wan4 mo4 lin2	wàn mò lín
万多了	=udz]urr\eee	wan4 duo1 le5	wàn duō le
万夫莫开	=udz[uuu-rewqffj	wan4 fu1 mo4 kai1	wàn fū mò kāi
万夫莫当	=udz[uuu-rew]ff;	wan4 fu1 mo4 dang1	wàn fū mò dāng
万夫莫摧	=udz[uuu-rew5uvj	wan4 fu1 mo4 cui1	wàn fū mò cuī
万夫莫敌	=udz[uuu-rew]lkj	wan4 fu1 mo4 di2	wàn fū mò dí
万岁了	=udz4ucl\eee	wan4 sui4 le5	wàn suì le
万年了	=udznlda\eee	wan4 nian2 le5	wàn nián le
万幸了	=udz1je/\eee	wan4 xing4 le5	wàn xìng le
万恶	=udz'rew	wan4 e4	wàn è
万恶之源	=udz'rew7JJJ`.da	wan4 e4 zhi1 yuan2	wàn è zhī yuán
万恶滔天	=udz'rewtffutjfa	wan4 e4 tao1 tian1	wàn è tāo tiān
万恶的	=udz'rew]eee	wan4 e4 de5	wàn è de
丈二和尚摸不着头脑	7fd/'UIOhwer9ddG-rrrbuio7sdutweunsso	zhang4 er4 he2 shang5 mo1 bu4 zhao2 tou2 nao3	zhàng èr hé shang mō bù zháo tóu nǎo
丈夫了	7fd/[uuu\eee	zhang4 fu1 le5	zhàng fū le
三下了	4ffa1jds\eee	san1 xia4 le5	sān xià le
三个了	4ffagrew\eee	san1 ge4 le5	sān gè le
三为了	4ffa=ucl\eee	san1 wei4 le5	sān wèi le
三人了	4ffa0xca\eee	san1 ren2 le5	sān rén le
三什么	4ffa9xca-eee	san1 shen2 me5	sān shén me
三代了	4ffa]fdl\eee	san1 dai4 le5	sān dài le
三分了	4ffa[vva\eee	san1 fen1 le5	sān fēn le
三刷了	4ffa9uff\eee	san1 shua1 le5	sān shuā le
三刻了	4ffaqrew\eee	san1 ke4 le5	sān kè le
三十了	4ffa9LKJ\eee	san1 shi2 le5	sān shí le
三叔了	4ffa9uuu\eee	san1 shu1 le5	sān shū le
三叠鳄	4ffa]lcv'rew	san1 die2 e4	sān dié è
三周了	4ffa7rru\eee	san1 zhou1 le5	sān zhōu le
三哥了	4ffagrrr\eee	san1 ge1 le5	sān gē le
三回了	4ffahocj\eee	san1 hui2 le5	sān huí le
三国了	4ffagoer\eee	san1 guo2 le5	sān guó le
三墨	4ffa-rew	san1 mo4	sān mò
三天了	4ffatjfa\eee	san1 tian1 le5	sān tiān le
三娥	4ffa'wer	san1 e2	sān é
三家了	4ffa3jff\eee	san1 jia1 le5	sān jiā le
三岁了	4ffa4ucl\eee	san1 sui4 le5	sān suì le
三峨	4ffa'wer	san1 e2	sān é
三年了	4ffanlda\eee	san1 nian2 le5	sān nián le
三思了	4ffa4JJJ\eee	san1 si1 le5	sān sī le
三恶	4ffa'rew	san1 e4	sān è
三恶烷	4ffa'rew=oda	san1 e4 wan2	sān è wán
三恶趣	4ffa'rew2m,.	san1 e4 qu4	sān è qù
三恶道	4ffa'rew]fdo	san1 e4 dao4	sān è dào
三挂了	4ffaguds\eee	san1 gua4 le5	sān guà le
三日了	4ffa0JKL\eee	san1 ri4 le5	sān rì le
三更了	4ffagrr;\eee	san1 geng1 le5	sān gēng le
三月了	4ffa`mcx\eee	san1 yue4 le5	sān yuè le
三月末	4ffa`mcx-rew	san1 yue4 mo4	sān yuè mò
三本了	4ffabxxz\eee	san1 ben3 le5	sān běn le
三条九陌	4ffatldu3lwo-rew	san1 tiao2 jiu3 mo4	sān tiáo jiǔ mò
三梢末尾	4ffa9ffu-rew=oxl	san1 shao1 mo4 wei3	sān shāo mò wěi
三楼了	4ffa\weu\eee	san1 lou2 le5	sān lóu le
三次了	4ffa5JKL\eee	san1 ci4 le5	sān cì le
三点了	4ffa]lsz\eee	san1 dian3 le5	sān diǎn le
三爷了	4ffaylcv\eee	san1 ye2 le5	sān yé le
三翅萼	4ffa8JKL'rew	san1 chi4 e4	sān chì è
三胎了	4ffatffj\eee	san1 tai1 le5	sān tāi le
三观了	4ffagufa\eee	san1 guan1 le5	sān guān le
三言讹虎	4ffaylda'werhooo	san1 yan2 e2 hu3	sān yán é hǔ
三轭兰	4ffa'rew\sda	san1 e4 lan2	sān è lán
三遍了	4ffabjdz\eee	san1 bian4 le5	sān biàn le
三𫫇烷	4ffa'www=oda	san1 e3 wan2	sān ě wán
上下颚	9fd/1jds'rew	shang4 xia4 e4	shàng xià è
上了	9fd/\eee	shang4 le5	shàng le
上了个	9fd/\eeegrew	shang4 le5 ge4	shàng le gè
上了台	9fd/\eeetsdj	shang4 le5 tai2	shàng le tái
上了吗	9fd/\eee-ddd	shang4 le5 ma5	shàng le ma
上了吧	9fd/\eeebddd	shang4 le5 ba5	shàng le ba
上了哪	9fd/\eeensss	shang4 le5 na3	shàng le nǎ
上了啊	9fd/\eee'ddd	shang4 le5 a5	shàng le a
上了嘛	9fd/\eee-ddd	shang4 le5 ma5	shàng le ma
上了天	9fd/\eeetjfa	shang4 le5 tian1	shàng le tiān
上了头	9fd/\eeetweu	shang4 le5 tou2	shàng le tóu
上了妆	9fd/\eee7uf;	shang4 le5 zhuang1	shàng le zhuāng
上了学	9fd/\eee1.cv	shang4 le5 xue2	shàng le xué
上了山	9fd/\eee9ffa	shang4 le5 shan1	shàng le shān
上了岸	9fd/\eee'fdz	shang4 le5 an4	shàng le àn
上了年纪	9fd/\eeenlda3jkl	shang4 le5 nian2 ji4	shàng le nián jì
上了床	9fd/\eee8od;	shang4 le5 chuang2	shàng le chuáng
上了当	9fd/\eee]fd/	shang4 le5 dang4	shàng le dàng
上了心	9fd/\eee1jva	shang4 le5 xin1	shàng le xīn
上了手	9fd/\eee9wwo	shang4 le5 shou3	shàng le shǒu
上了树	9fd/\eee9uio	shang4 le5 shu4	shàng le shù
上了桌	9fd/\eee7urr	shang4 le5 zhuo1	shàng le zhuō
上了楼	9fd/\eee\weu	shang4 le5 lou2	shàng le lóu
上了榜	9fd/\eeebss/	shang4 le5 bang3	shàng le bǎng
上了火	9fd/\eeehoww	shang4 le5 huo3	shàng le huǒ
上了炕	9fd/\eeeqfd/	shang4 le5 kang4	shàng le kàng
上了环	9fd/\eeehoda	shang4 le5 huan2	shàng le huán
上了班	9fd/\eeebffa	shang4 le5 ban1	shàng le bān
上了瘾	9fd/\eeeylxz	shang4 le5 yin3	shàng le yǐn
上了线	9fd/\eee1jdz	shang4 le5 xian4	shàng le xiàn
上了网	9fd/\eee=os/	shang4 le5 wang3	shàng le wǎng
上了膛	9fd/\eeetsd;	shang4 le5 tang2	shàng le táng
上了船	9fd/\eee8oda	shang4 le5 chuan2	shàng le chuán
上了色	9fd/\eee4rew	shang4 le5 se4	shàng le sè
上了课	9fd/\eeeqrew	shang4 le5 ke4	shàng le kè
上了贼船	9fd/\eee6xcj8oda	shang4 le5 zei2 chuan2	shàng le zéi chuán
上了路	9fd/\eee\uio	shang4 le5 lu4	shàng le lù
上了身	9fd/\eee9vva	shang4 le5 shen1	shàng le shēn
上了车	9fd/\eee8rrr	shang4 le5 che1	shàng le chē
上了锁	9fd/\eee4oww	shang4 le5 suo3	shàng le suǒ
上了门	9fd/\eee-xca	shang4 le5 men2	shàng le mén
上什么	9fd/9xca-eee	shang4 shen2 me5	shàng shén me
上传了	9fd/8oda\eee	shang4 chuan2 le5	shàng chuán le
上劲了	9fd/3jcz\eee	shang4 jin4 le5	shàng jìn le
上升了	9fd/9rr;\eee	shang4 sheng1 le5	shàng shēng le
上去了	9fd/2m,.\eee	shang4 qu4 le5	shàng qù le
上吊了	9fd/]jdo\eee	shang4 diao4 le5	shàng diào le
上周末	9fd/7rru-rew	shang4 zhou1 mo4	shàng zhōu mò
上嘴了	9fd/6oxl\eee	shang4 zui3 le5	shàng zuǐ le
上场了	9fd/8ss/\eee	shang4 chang3 le5	shàng chǎng le
上墨	9fd/-rew	shang4 mo4	shàng mò
上墨器	9fd/-rew2jkl	shang4 mo4 qi4	shàng mò qì
上墨水	9fd/-rew9oxl	shang4 mo4 shui3	shàng mò shuǐ
上够了	9fd/greo\eee	shang4 gou4 le5	shàng gòu le
上天了	9fd/tjfa\eee	shang4 tian1 le5	shàng tiān le
上头了	9fd/tweu\eee	shang4 tou2 le5	shàng tóu le
上学么	9fd/1.cv-eee	shang4 xue2 me5	shàng xué me
上学了	9fd/1.cv\eee	shang4 xue2 le5	shàng xué le
上完了	9fd/=oda\eee	shang4 wan2 le5	shàng wán le
上屏了	9fd/ple;\eee	shang4 ping2 le5	shàng píng le
上岛了	9fd/]sso\eee	shang4 dao3 le5	shàng dǎo le
上岸了	9fd/'fdz\eee	shang4 an4 le5	shàng àn le
上市了	9fd/9JKL\eee	shang4 shi4 le5	shàng shì le
上年末	9fd/nlda-rew	shang4 nian2 mo4	shàng nián mò
上当了	9fd/]fd/\eee	shang4 dang4 le5	shàng dàng le
上手了	9fd/9wwo\eee	shang4 shou3 le5	shàng shǒu le
上手摸	9fd/9wwo-rrr	shang4 shou3 mo1	shàng shǒu mō
上新了	9fd/1jva\eee	shang4 xin1 le5	shàng xīn le
上月末	9fd/`mcx-rew	shang4 yue4 mo4	shàng yuè mò
上来了	9fd/\sdj\eee	shang4 lai2 le5	shàng lái le
上架了	9fd/3jds\eee	shang4 jia4 le5	shàng jià le
上榜了	9fd/bss/\eee	shang4 bang3 le5	shàng bǎng le
上沙漠	9fd/9fff-rew	shang4 sha1 mo4	shàng shā mò
上海了	9fd/hssl\eee	shang4 hai3 le5	shàng hǎi le
上涨了	9fd/7ss/\eee	shang4 zhang3 le5	shàng zhǎng le
上演了	9fd/ylsz\eee	shang4 yan3 le5	shàng yǎn le
上火了	9fd/howw\eee	shang4 huo3 le5	shàng huǒ le
上点了	9fd/]lsz\eee	shang4 dian3 le5	shàng diǎn le
上班么	9fd/bffa-eee	shang4 ban1 me5	shàng bān me
上班了	9fd/bffa\eee	shang4 ban1 le5	shàng bān le
上班咯	9fd/bffa\eee	shang4 ban1 lo5	shàng bān lo
上班哦	9fd/bffa'wer	shang4 ban1 o2	shàng bān ó
上瘾了	9fd/ylxz\eee	shang4 yin3 le5	shàng yǐn le
上的了	9fd/]eee\eee	shang4 de5 le5	shàng de le
上研了	9fd/ylda\eee	shang4 yan2 le5	shàng yán le
上线了	9fd/1jdz\eee	shang4 xian4 le5	shàng xiàn le
上绕了	9fd/0fdo\eee	shang4 rao4 le5	shàng rào le
上网了	9fd/=os/\eee	shang4 wang3 le5	shàng wǎng le
上船了	9fd/8oda\eee	shang4 chuan2 le5	shàng chuán le
上菜了	9fd/5fdl\eee	shang4 cai4 le5	shàng cài le
上课么	9fd/qrew-eee	shang4 ke4 me5	shàng kè me
上课了	9fd/qrew\eee	shang4 ke4 le5	shàng kè le
上调了	9fd/tldu\eee	shang4 tiao2 le5	shàng tiáo le
上路了	9fd/\uio\eee	shang4 lu4 le5	shàng lù le
上身了	9fd/9vva\eee	shang4 shen1 le5	shàng shēn le
上车了	9fd/8rrr\eee	shang4 che1 le5	shàng chē le
上过了	9fd/guew\eee	shang4 guo4 le5	shàng guò le
上那么	9fd/nfds-eee	shang4 na4 me5	shàng nà me
上钩了	9fd/grru\eee	shang4 gou1 le5	shàng gōu le
上铺了	9fd/puio\eee	shang4 pu4 le5	shàng pù le
上门了	9fd/-xca\eee	shang4 men2 le5	shàng mén le
上颚	9fd/'rew	shang4 e4	shàng è
上颚骨	9fd/'rewgooo	shang4 e4 gu3	shàng è gǔ
上额头	9fd/'wertweu	shang4 e2 tou2	shàng é tóu
上饶了	9fd/0sdu\eee	shang4 rao2 le5	shàng ráo le
上高了	9fd/gffu\eee	shang4 gao1 le5	shàng gāo le
上齐了	9fd/2lkj\eee	shang4 qi2 le5	shàng qí le
下上了	1jds9fd/\eee	xia4 shang4 le5	xià shàng le
下下了	1jds1jds\eee	xia4 xia4 le5	xià xià le
下不了	1jdsbuio\eee	xia4 bu4 le5	xià bù le
下乡了	1jds1jf;\eee	xia4 xiang1 le5	xià xiāng le
下买了	1jds-ssl\eee	xia4 mai3 le5	xià mǎi le
下了	1jds\eee	xia4 le5	xià le
下了个	1jds\eeegrew	xia4 le5 ge4	xià le gè
下了单	1jds\eee]ffa	xia4 le5 dan1	xià le dān
下了台	1jds\eeetsdj	xia4 le5 tai2	xià le tái
下了吗	1jds\eee-ddd	xia4 le5 ma5	xià le ma
下了吧	1jds\eeebddd	xia4 le5 ba5	xià le ba
下了哦	1jds\eee'wer	xia4 le5 o2	xià le ó
下了啊	1jds\eee'ddd	xia4 le5 a5	xià le a
下了地	1jds\eee]jkl	xia4 le5 di4	xià le dì
下了场	1jds\eee8ss/	xia4 le5 chang3	xià le chǎng
下了套	1jds\eeetfdo	xia4 le5 tao4	xià le tào
下了学	1jds\eee1.cv	xia4 le5 xue2	xià le xué
下了山	1jds\eee9ffa	xia4 le5 shan1	xià le shān
下了岗	1jds\eeegss/	xia4 le5 gang3	xià le gǎng
下了床	1jds\eee8od;	xia4 le5 chuang2	xià le chuáng
下了手	1jds\eee9wwo	xia4 le5 shou3	xià le shǒu
下了楼	1jds\eee\weu	xia4 le5 lou2	xià le lóu
下了毒	1jds\eee]oiu	xia4 le5 du2	xià le dú
下了水	1jds\eee9oxl	xia4 le5 shui3	xià le shuǐ
下了班	1jds\eeebffa	xia4 le5 ban1	xià le bān
下了肚	1jds\eee]uio	xia4 le5 du4	xià le dù
下了船	1jds\eee8oda	xia4 le5 chuan2	xià le chuán
下了药	1jds\eeeyjdo	xia4 le5 yao4	xià le yào
下了蛊	1jds\eeegooo	xia4 le5 gu3	xià le gǔ
下了课	1jds\eeeqrew	xia4 le5 ke4	xià le kè
下了车	1jds\eee8rrr	xia4 le5 che1	xià le chē
下了雨	1jds\eee`...	xia4 le5 yu3	xià le yǔ
下了雪	1jds\eee1.xx	xia4 le5 xue3	xià le xuě
下了马	1jds\eee-sss	xia4 le5 ma3	xià le mǎ
下人了	1jds0xca\eee	xia4 ren2 le5	xià rén le
下令了	1jds\je/\eee	xia4 ling4 le5	xià lìng le
下伏鳄	1jds[oiu'rew	xia4 fu2 e4	xià fú è
下作了	1jds6uew\eee	xia4 zuo4 le5	xià zuò le
下你了	1jdsnlll\eee	xia4 ni3 le5	xià nǐ le
下做了	1jds6uew\eee	xia4 zuo4 le5	xià zuò le
下写了	1jds1lxx\eee	xia4 xie3 le5	xià xiě le
下凡了	1jds[sda\eee	xia4 fan2 le5	xià fán le
下出了	1jds8uuu\eee	xia4 chu1 le5	xià chū le
下到了	1jds]fdo\eee	xia4 dao4 le5	xià dào le
下午了	1jds=ooo\eee	xia4 wu3 le5	xià wǔ le
下单了	1jds]ffa\eee	xia4 dan1 le5	xià dān le
下厨了	1jds8oiu\eee	xia4 chu2 le5	xià chú le
下去了	1jds2m,.\eee	xia4 qu4 le5	xià qù le
下发了	1jds[fff\eee	xia4 fa1 le5	xià fā le
下台了	1jdstsdj\eee	xia4 tai2 le5	xià tái le
下吃了	1jds8JJJ\eee	xia4 chi1 le5	xià chī le
下周末	1jds7rru-rew	xia4 zhou1 mo4	xià zhōu mò
下咯	1jds\eee	xia4 lo5	xià lo
下咽了	1jdsyjdz\eee	xia4 yan4 le5	xià yàn le
下回了	1jdshocj\eee	xia4 hui2 le5	xià huí le
下地了	1jds]jkl\eee	xia4 di4 le5	xià dì le
下场了	1jds8ss/\eee	xia4 chang3 le5	xià chǎng le
下垂了	1jds8ocj\eee	xia4 chui2 le5	xià chuí le
下多了	1jds]urr\eee	xia4 duo1 le5	xià duō le
下大了	1jds]fds\eee	xia4 da4 le5	xià dà le
下套了	1jdstfdo\eee	xia4 tao4 le5	xià tào le
下好了	1jdshsso\eee	xia4 hao3 le5	xià hǎo le
下姜末	1jds3jf;-rew	xia4 jiang1 mo4	xià jiāng mò
下学了	1jds1.cv\eee	xia4 xue2 le5	xià xué le
下完了	1jds=oda\eee	xia4 wan2 le5	xià wán le
下定了	1jds]je/\eee	xia4 ding4 le5	xià dìng le
下对了	1jds]ucl\eee	xia4 dui4 le5	xià duì le
下少了	1jds9sso\eee	xia4 shao3 le5	xià shǎo le
下属了	1jds9ooo\eee	xia4 shu3 le5	xià shǔ le
下山了	1jds9ffa\eee	xia4 shan1 le5	xià shān le
下岗了	1jdsgss/\eee	xia4 gang3 le5	xià gǎng le
下工了	1jdsgur;\eee	xia4 gong1 le5	xià gōng le
下巴了	1jdsbddd\eee	xia4 ba5 le5	xià ba le
下床了	1jds8od;\eee	xia4 chuang2 le5	xià chuáng le
下开了	1jdsqffj\eee	xia4 kai1 le5	xià kāi le
下成了	1jds8we;\eee	xia4 cheng2 le5	xià chéng le
下手了	1jds9wwo\eee	xia4 shou3 le5	xià shǒu le
下拉了	1jds\fff\eee	xia4 la1 le5	xià lā le
下拿了	1jdsnsdf\eee	xia4 na2 le5	xià ná le
下掉了	1jds]jdo\eee	xia4 diao4 le5	xià diào le
下播了	1jdsbrrr\eee	xia4 bo1 le5	xià bō le
下放了	1jds[fd/\eee	xia4 fang4 le5	xià fàng le
下文了	1jds=oca\eee	xia4 wen2 le5	xià wén le
下旨了	1jds7LLL\eee	xia4 zhi3 le5	xià zhǐ le
下有了	1jdsylwo\eee	xia4 you3 le5	xià yǒu le
下朝了	1jds8sdu\eee	xia4 chao2 le5	xià cháo le
下机了	1jds3jjj\eee	xia4 ji1 le5	xià jī le
下来了	1jds\sdj\eee	xia4 lai2 le5	xià lái le
下架了	1jds3jds\eee	xia4 jia4 le5	xià jià le
下桥了	1jds2ldu\eee	xia4 qiao2 le5	xià qiáo le
下棋了	1jds2lkj\eee	xia4 qi2 le5	xià qí le
下楼了	1jds\weu\eee	xia4 lou2 le5	xià lóu le
下次了	1jds5JKL\eee	xia4 ci4 le5	xià cì le
下死了	1jds4LLL\eee	xia4 si3 le5	xià sǐ le
下毒了	1jds]oiu\eee	xia4 du2 le5	xià dú le
下水了	1jds9oxl\eee	xia4 shui3 le5	xià shuǐ le
下沉了	1jds8xca\eee	xia4 chen2 le5	xià chén le
下河了	1jdshwer\eee	xia4 he2 le5	xià hé le
下注了	1jds7uio\eee	xia4 zhu4 le5	xià zhù le
下流了	1jds\leu\eee	xia4 liu2 le5	xià liú le
下海了	1jdshssl\eee	xia4 hai3 le5	xià hǎi le
下滑了	1jdshodf\eee	xia4 hua2 le5	xià huá le
下点了	1jds]lsz\eee	xia4 dian3 le5	xià diǎn le
下狱了	1jds`m,.\eee	xia4 yu4 le5	xià yù le
下班了	1jdsbffa\eee	xia4 ban1 le5	xià bān le
下班咯	1jdsbffa\eee	xia4 ban1 lo5	xià bān lo
下球了	1jds2leu\eee	xia4 qiu2 le5	xià qiú le
下的了	1jds]eee\eee	xia4 de5 le5	xià de le
下盘了	1jdspsda\eee	xia4 pan2 le5	xià pán le
下着了	1jds7eee\eee	xia4 zhe5 le5	xià zhe le
下移了	1jdsylkj\eee	xia4 yi2 le5	xià yí le
下站了	1jds7fdz\eee	xia4 zhan4 le5	xià zhàn le
下笔了	1jdsblll\eee	xia4 bi3 le5	xià bǐ le
下等了	1jds]ww/\eee	xia4 deng3 le5	xià děng le
下线了	1jds1jdz\eee	xia4 xian4 le5	xià xiàn le
下给了	1jdsgxxl\eee	xia4 gei3 le5	xià gěi le
下罢了	1jdsbfds\eee	xia4 ba4 le5	xià bà le
下翻了	1jds[ffa\eee	xia4 fan1 le5	xià fān le
下聘了	1jdspjcz\eee	xia4 pin4 le5	xià pìn le
下肚了	1jds]uio\eee	xia4 du4 le5	xià dù le
下船了	1jds8oda\eee	xia4 chuan2 le5	xià chuán le
下花了	1jdshuff\eee	xia4 hua1 le5	xià huā le
下药了	1jdsyjdo\eee	xia4 yao4 le5	xià yào le
下落了	1jds\uew\eee	xia4 luo4 le5	xià luò le
下葬了	1jds6fd/\eee	xia4 zang4 le5	xià zàng le
下蒜末	1jds4udz-rew	xia4 suan4 mo4	xià suàn mò
下蛋了	1jds]fdz\eee	xia4 dan4 le5	xià dàn le
下行了	1jds1le;\eee	xia4 xing2 le5	xià xíng le
下课了	1jdsqrew\eee	xia4 ke4 le5	xià kè le
下调了	1jdstldu\eee	xia4 tiao2 le5	xià tiáo le
下贱了	1jds3jdz\eee	xia4 jian4 le5	xià jiàn le
下走了	1jds6wwo\eee	xia4 zou3 le5	xià zǒu le
下起了	1jds2lll\eee	xia4 qi3 le5	xià qǐ le
下跌了	1jds]jvv\eee	xia4 die1 le5	xià diē le
下跪了	1jdsgucl\eee	xia4 gui4 le5	xià guì le
下车了	1jds8rrr\eee	xia4 che1 le5	xià chē le
下载了	1jds6fdl\eee	xia4 zai4 le5	xià zài le
