review_id	decision	applicable_context	blocking_context	trial_eligibility	input_policy	adjudicator	adjudicated_on	note
T3-5B-011	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	有所在通常连续语流中核准阳平加上声
T3-5B-012	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	往往在通常连续语流中核准阳平加上声
T3-5B-013	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	表演在通常连续语流中核准阳平加上声
T3-5B-014	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	领土在通常连续语流中核准阳平加上声
T3-5B-015	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	养老在通常连续语流中核准阳平加上声
T3-5B-016	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	引领在通常连续语流中核准阳平加上声
T3-5B-017	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	允许在通常连续语流中核准阳平加上声
T3-5B-018	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	领取在通常连续语流中核准阳平加上声
T3-5B-019	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	演讲在通常连续语流中核准阳平加上声
T3-5B-020	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	想起在通常连续语流中核准阳平加上声
T3-5B-021	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	缓解在通常连续语流中核准阳平加上声
T3-5B-022	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	勇敢在通常连续语流中核准阳平加上声
T3-5B-023	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	享有在通常连续语流中核准阳平加上声
T3-5B-024	approved_2_3	ordinary_continuous_prosodic_domain	internal_emphasis,internal_syllable_boundary_pause,internal_coordination,other_internal_prosodic_constraint	eligible_for_stage5c_temporary_trial	parallel_alias_keep_canonical	project_owner	2026-08-17	水土在通常连续语流中核准阳平加上声
