review_id	text	canonical_pinyin	expected_surface_pinyin	class_id	stage6b_record_id_snapshot	priority_weight_snapshot	evidence_class	review_status	runtime_status	source_ids	note
PA-6C-015	情况啊	qing2 kuang4 a5	qing2 kuang4 nga5	PA-NG	PA-6B-02046	1941	semantic_only_shared_key	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	N26与N12共键；只验证语义ID
PA-6C-016	是啊	shi4 a5	shi4 ra5	PA-RETROFLEX	PA-6B-02781	2006	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	卷舌类直接双音节样本
PA-6C-017	就是啊	jiu4 shi4 a5	jiu4 shi4 ra5	PA-RETROFLEX	PA-6B-02727	1944	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	卷舌类高频样本
PA-6C-018	也是啊	ye3 shi4 a5	ye3 shi4 ra5	PA-RETROFLEX	PA-6B-02625	1914	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	卷舌类高频样本
PA-6C-019	好事啊	hao3 shi4 a5	hao3 shi4 ra5	PA-RETROFLEX	PA-6B-02710	1912	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	卷舌类高频样本
PA-6C-020	老师啊	lao3 shi1 a5	lao3 shi1 ra5	PA-RETROFLEX	PA-6B-02862	1911	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	卷舌类高频样本
PA-6C-021	没有啊	mei2 you3 a5	mei2 you3 wa5	PA-U	PA-6B-03667	1981	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	u尾类高频样本
PA-6C-022	多好啊	duo1 hao3 a5	duo1 hao3 wa5	PA-U	PA-6B-03256	1978	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	ao按u尾处理的高频样本
PA-6C-023	好啊	hao3 a5	hao3 wa5	PA-U	PA-6B-03301	1973	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	ao按u尾处理的直接双音节样本
PA-6C-024	不了啊	bu4 liao3 a5	bu4 liao3 wa5	PA-U	PA-6B-02949	1962	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	iao按u尾处理的高频样本
PA-6C-025	重要啊	zhong4 yao4 a5	zhong4 yao4 wa5	PA-U	PA-6B-04037	1949	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	ao按u尾处理的高频样本
PA-6C-026	对啊	dui4 a5	dui4 ya5	PA-VOWEL-IY	PA-6B-05076	2008	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	其余元音尾类直接双音节样本
PA-6C-027	不对啊	bu2 dui4 a5	bu2 dui4 ya5	PA-VOWEL-IY	PA-6B-04194	1986	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	其余元音尾类高频样本
PA-6C-028	可以啊	ke3 yi3 a5	ke3 yi3 ya5	PA-VOWEL-IY	PA-6B-04668	1983	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	其余元音尾类高频样本
PA-6C-029	问题啊	wen4 ti2 a5	wen4 ti2 ya5	PA-VOWEL-IY	PA-6B-06544	1974	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	其余元音尾类高频样本
PA-6C-030	感觉啊	gan3 jue2 a5	gan3 jue2 ya5	PA-VOWEL-IY	PA-6B-05319	1960	input_alias_key_change	pending_human_review	not_approved	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	其余元音尾类高频样本
